QUESTION O
TYPE: O
DIGESTIVE O

CLINICAL O
CASE: O

A B-Premise
27-year-old I-Premise
woman I-Premise
under I-Premise
study I-Premise
in I-Premise
the I-Premise
dermatology I-Premise
department I-Premise
for I-Premise
recurrent I-Premise
episodes I-Premise
of I-Premise
oral I-Premise
aphthous I-Premise
ulcers. I-Premise

She O
was O
referred O
to O
the O
gastrointestinal O
department O
for O
a B-Premise
blood I-Premise
test I-Premise
showing I-Premise
Hb I-Premise
11.5 I-Premise
gr/dl I-Premise
Fe I-Premise
38 I-Premise
AST I-Premise
52 I-Premise
ALT I-Premise
64 I-Premise
Ac I-Premise
antitrasglutaminase I-Premise
IgA I-Premise
177. I-Premise

The B-Premise
patient I-Premise
reported I-Premise
only I-Premise
occasional I-Premise
diffuse I-Premise
abdominal I-Premise
discomfort. I-Premise

She B-Premise
reports I-Premise
no I-Premise
signs I-Premise
of I-Premise
hemorrhage I-Premise
or I-Premise
jaundice. I-Premise

The B-Premise
physical I-Premise
examination I-Premise
is I-Premise
normal. I-Premise

Which O
of O
the O
following O
tests O
do O
you O
consider O
to O
be O
the O
most O
appropriate O
to O
make O
the O
diagnosis? O

1- O
Capsule B-Claim
endoscopy. I-Claim

2- O
Colonoscopy. B-Claim

3- O
Serology B-Claim
for I-Claim
hepatitis I-Claim
b I-Claim
and I-Claim
c I-Claim
virus. I-Claim

4- O
Intestinal B-Claim
biopsy. I-Claim

5- O
Abdominal B-Claim
ultrasound. I-Claim

CORRECT O
ANSWER: O
4 O

In B-Premise
this I-Premise
question, I-Premise
they I-Premise
give I-Premise
an I-Premise
important I-Premise
piece I-Premise
of I-Premise
information I-Premise
when I-Premise
it I-Premise
comes I-Premise
to I-Premise
suspecting I-Premise
a I-Premise
diagnosis, I-Premise
which I-Premise
is I-Premise
the I-Premise
antitransglutaminase I-Premise
antibodies I-Premise
that B-Claim
must I-Claim
lead I-Claim
you I-Claim
to I-Claim
suspect I-Claim
celiac I-Claim
disease. I-Claim

The B-Premise
rest I-Premise
of I-Premise
the I-Premise
symptoms I-Premise
fall I-Premise
perfectly I-Premise
within I-Premise
the I-Premise
picture I-Premise
and O
although B-Claim
probably I-Claim
several I-Claim
of I-Claim
the I-Claim
tests I-Claim
that I-Claim
it I-Claim
says I-Claim
will I-Claim
be I-Claim
done, I-Claim
the B-Claim
answer I-Claim
that I-Claim
will I-Claim
give I-Claim
us I-Claim
the I-Claim
diagnosis I-Claim
is I-Claim
4 I-Claim
(intestinal I-Claim
biopsy). I-Claim

QUESTION O
TYPE: O
ENDOCRINOLOGY O

CLINICAL O
CASE: O

A B-Premise
24-year-old I-Premise
man I-Premise
reports I-Premise
progressive I-Premise
asthenia I-Premise
for I-Premise
at I-Premise
least I-Premise
6 I-Premise
months, I-Premise
hoarse I-Premise
voice, I-Premise
slow I-Premise
speech, I-Premise
drowsiness I-Premise
and I-Premise
swelling I-Premise
of I-Premise
the I-Premise
hands, I-Premise
feet I-Premise
and I-Premise
face. I-Premise

Examination: B-Premise
pulse I-Premise
at I-Premise
52 I-Premise
beats I-Premise
per I-Premise
minute, I-Premise
abotarada I-Premise
face I-Premise
and I-Premise
dry I-Premise
and I-Premise
pale I-Premise
skin. I-Premise

CBC: B-Premise
mild I-Premise
anemia, I-Premise
cholesterol I-Premise
385 I-Premise
mg/dL I-Premise
(normal I-Premise
<220), I-Premise
creatinine I-Premise
1.3 I-Premise
mg/dL I-Premise
(normal: I-Premise
0.5-1.1), I-Premise
negative I-Premise
proteinuria, I-Premise
TSH I-Premise
187μIU/mL I-Premise
(normal I-Premise
0.35-5.5) I-Premise
and I-Premise
Free I-Premise
T4 I-Premise
0.2 I-Premise
ng/dL I-Premise
(normal I-Premise
0.85-1.86). I-Premise

What O
strategy O
do O
you O
think O
is O
most O
appropriate? O

1- O
Perform B-Claim
a I-Claim
thyroid I-Claim
ultrasound I-Claim
before I-Claim
starting I-Claim
treatment. I-Claim

2- O
Determine B-Claim
free I-Claim
T3 I-Claim
and I-Claim
perform I-Claim
a I-Claim
pituitary I-Claim
MRI. I-Claim

3- O
Treat B-Claim
with I-Claim
L-triiodothyronine I-Claim
and I-Claim
a I-Claim
statin. I-Claim

4- O
Treat B-Claim
with I-Claim
L-Tyroxine I-Claim
and I-Claim
determine I-Claim
antithyroid I-Claim
antibodies. I-Claim

5- O
Perform B-Claim
thyroid I-Claim
cytology I-Claim
prior I-Claim
to I-Claim
treatment. I-Claim

CORRECT O
ANSWER: O
4 O

This B-Claim
is I-Claim
severe I-Claim
primary I-Claim
hypothyroidism. I-Claim

Treatment B-Claim
is I-Claim
with I-Claim
thyroxine. I-Claim

If B-Claim
there I-Claim
is I-Claim
no I-Claim
nodule, I-Claim
neither I-Claim
echo I-Claim
nor I-Claim
FNA I-Claim
is I-Claim
indicated. I-Claim

QUESTION O
TYPE: O
ENDOCRINOLOGY O

CLINICAL O
CASE: O

A B-Premise
55-year-old I-Premise
woman I-Premise
consults I-Premise
for I-Premise
fatigue I-Premise
and I-Premise
polyuria I-Premise
of I-Premise
two I-Premise
years' I-Premise
evolution. I-Premise

Laboratory B-Premise
tests I-Premise
reveal I-Premise
hypercalcemia, I-Premise
increased I-Premise
PTH I-Premise
and I-Premise
increased I-Premise
bone I-Premise
turnover I-Premise
markers. I-Premise

The B-Premise
radiographic I-Premise
study I-Premise
shows I-Premise
subperiosteal I-Premise
resorption I-Premise
and I-Premise
osteoporosis. I-Premise

Sestamibi B-Premise
scintigraphy I-Premise
revealed I-Premise
a I-Premise
parathyroid I-Premise
adenoma. I-Premise

Parathyroidectomy B-Premise
was I-Premise
performed I-Premise
with I-Premise
minimally I-Premise
invasive I-Premise
surgery. I-Premise

Postoperatively, B-Premise
the I-Premise
patient I-Premise
developed I-Premise
severe I-Premise
hypocalcemia I-Premise
and I-Premise
tetany, I-Premise
with I-Premise
PTH I-Premise
below I-Premise
5 I-Premise
ng/l. I-Premise

The B-Premise
patient I-Premise
responds I-Premise
well I-Premise
to I-Premise
initial I-Premise
treatment I-Premise
with I-Premise
intravenous I-Premise
calcium I-Premise
and I-Premise
later I-Premise
with I-Premise
oral I-Premise
calcium I-Premise
and I-Premise
vitamin I-Premise
D. I-Premise

What O
is O
the O
most O
likely O
diagnosis? O

1- O
Permanent B-Claim
surgical I-Claim
hypoparathyroidism. I-Claim

2- O
Transfusion B-Claim
of I-Claim
citrated I-Claim
blood. I-Claim

3- O
Vitamin B-Claim
D I-Claim
insufficiency. I-Claim

4- O
Hungry B-Claim
bone I-Claim
syndrome. I-Claim

5- O
Osteomalacia. B-Claim

CORRECT O
ANSWER: O
4 O

Question O
of O
very O
high O
difficulty, O
I O
would O
not O
worry O
about O
having O
failed O
it. O

It O
is O
easy O
to O
get O
confused O
with O
the O
hypoparathyroidism O
answer. O

Permanent B-Claim
post-surgical I-Claim
hypoparathyroidism I-Claim
after I-Claim
parathyroidectomy I-Claim
of I-Claim
an I-Claim
adenoma I-Claim
with I-Claim
minimally I-Claim
invasive I-Claim
surgery I-Claim
is I-Claim
rare. I-Claim

I O
write O
a O
brief O
summary O
of O
the O
hungry O
bone O
syndrome O
that O
I O
have O
found O
in O
a O
clinical O
case O
in O
the O
Annals O
of O
Internal O
Medicine O
[1]: O
"The B-Claim
pathophysiology I-Claim
of I-Claim
the I-Claim
hungry I-Claim
bone I-Claim
syndrome I-Claim
(HBS) I-Claim
is I-Claim
related I-Claim
to I-Claim
an I-Claim
imbalance I-Claim
between I-Claim
bone I-Claim
formation I-Claim
and I-Claim
bone I-Claim
resorption, I-Claim
which I-Claim
is I-Claim
associated I-Claim
with I-Claim
hypocalcemia, I-Claim
hypophosphatemia I-Claim
and I-Claim
hypomagnesemia I-Claim
(1). O

This B-Claim
syndrome I-Claim
can I-Claim
be I-Claim
observed I-Claim
after I-Claim
surgery I-Claim
in I-Claim
patients I-Claim
with I-Claim
primary I-Claim
hyperparathyroidism I-Claim
(HPT), I-Claim
as I-Claim
well I-Claim
as I-Claim
in I-Claim
tertiary I-Claim
HPT I-Claim
of I-Claim
chronic I-Claim
renal I-Claim
failure, I-Claim
and I-Claim
to I-Claim
a I-Claim
lesser I-Claim
extent I-Claim
after I-Claim
treatment I-Claim
of I-Claim
processes I-Claim
with I-Claim
excess I-Claim
of I-Claim
circulating I-Claim
thyroid I-Claim
hormones I-Claim
(2). I-Claim

In B-Claim
PTH, I-Claim
there I-Claim
is I-Claim
an I-Claim
excess I-Claim
of I-Claim
parathyroid I-Claim
hormone I-Claim
(PTH) I-Claim
which I-Claim
stimulates I-Claim
osteoclastic I-Claim
activity I-Claim
causing I-Claim
demineralization I-Claim
of I-Claim
the I-Claim
bone I-Claim
matrix I-Claim
and I-Claim
releasing I-Claim
calcium I-Claim
into I-Claim
the I-Claim
bloodstream. I-Claim

After B-Claim
parathyroidectomy, I-Claim
serum I-Claim
PTH I-Claim
levels I-Claim
drop I-Claim
dramatically, I-Claim
thus, I-Claim
PTH-induced I-Claim
bone I-Claim
resorption I-Claim
ceases, I-Claim
while I-Claim
osteoblastic I-Claim
activity I-Claim
continues I-Claim
resulting I-Claim
in I-Claim
increased I-Claim
bone I-Claim
uptake I-Claim
of I-Claim
calcium, I-Claim
phosphate I-Claim
and I-Claim
magnesium, I-Claim
thus I-Claim
SHH I-Claim
appears I-Claim
(3)." O

QUESTION O
TYPE: O
GENETICS O
AND O
IMMUNOLOGY O

CLINICAL O
CASE: O

A B-Premise
man I-Premise
has I-Premise
a I-Premise
partial I-Premise
deletion I-Premise
in I-Premise
the I-Premise
dystrophin I-Premise
gene I-Premise
(chromosome I-Premise
Xp21) I-Premise
which I-Premise
causes I-Premise
the I-Premise
semiology I-Premise
of I-Premise
Becker I-Premise
muscular I-Premise
dystrophy. I-Premise

He B-Premise
goes I-Premise
to I-Premise
the I-Premise
genetic I-Premise
consultation I-Premise
with I-Premise
his I-Premise
wife, I-Premise
to I-Premise
assess I-Premise
the I-Premise
risks I-Premise
of I-Premise
transmission I-Premise
of I-Premise
the I-Premise
disease. I-Premise

What O
correct O
information O
will O
be O
provided O
in O
the O
course O
of O
the O
genetic O
counseling? O

1- O
According B-Claim
to I-Claim
autosomal I-Claim
dominant I-Claim
inheritance, I-Claim
half I-Claim
of I-Claim
her I-Claim
children I-Claim
will I-Claim
inherit I-Claim
the I-Claim
disease I-Claim
and I-Claim
without I-Claim
distinction I-Claim
of I-Claim
sexes. I-Claim

2- O
Their B-Claim
daughters I-Claim
will I-Claim
not I-Claim
inherit I-Claim
the I-Claim
disease, I-Claim
but I-Claim
all I-Claim
their I-Claim
future I-Claim
sons I-Claim
will I-Claim
be I-Claim
carriers I-Claim
and I-Claim
can I-Claim
transmit I-Claim
the I-Claim
mutation I-Claim
to I-Claim
50%. I-Claim

3- O
Their B-Claim
sons I-Claim
will I-Claim
not I-Claim
inherit I-Claim
the I-Claim
disease, I-Claim
but I-Claim
all I-Claim
their I-Claim
future I-Claim
daughters I-Claim
will I-Claim
be I-Claim
carriers I-Claim
and I-Claim
can I-Claim
