QUESTION	O		
TYPE:	O		
DIGESTIVO	O		

CLINICAL	O		
CASE:	O		

Donna	B-Premise	HighQuality	
di	I-Premise	HighQuality	
27	I-Premise	HighQuality	
anni	I-Premise	HighQuality	
in	I-Premise	HighQuality	
studio	I-Premise	HighQuality	
presso	I-Premise	HighQuality	
il	I-Premise	HighQuality	
reparto	I-Premise	HighQuality	
di	I-Premise	HighQuality	
dermatologia	I-Premise	HighQuality	
per	I-Premise	HighQuality	
episodi	I-Premise	HighQuality	
ricorrenti	I-Premise	HighQuality	
di	I-Premise	HighQuality	
afte	I-Premise	HighQuality	
orali.	I-Premise	HighQuality	

È	O		
stata	O		
indirizzata	O		
al	O		
reparto	O		
di	O		
gastrointestinale	O		
per	O		
un	B-Premise	HighQuality	
esame	I-Premise	HighQuality	
del	I-Premise	HighQuality	
sangue	I-Premise	HighQuality	
che	I-Premise	HighQuality	
ha	I-Premise	HighQuality	
mostrato	I-Premise	HighQuality	
Hb	I-Premise	HighQuality	
11,5	I-Premise	HighQuality	
g/dl	I-Premise	HighQuality	
Fe	I-Premise	HighQuality	
38	I-Premise	HighQuality	
AST	I-Premise	HighQuality	
52	I-Premise	HighQuality	
ALT	I-Premise	HighQuality	
64	I-Premise	HighQuality	
Anti-transglutaminasi	I-Premise	HighQuality	
IgA	I-Premise	HighQuality	
177.	I-Premise	HighQuality	

Il	B-Premise	HighQuality	
paziente	I-Premise	HighQuality	
riferisce	I-Premise	HighQuality	
solo	I-Premise	HighQuality	
occasionali	I-Premise	HighQuality	
disturbi	I-Premise	HighQuality	
addominali	I-Premise	HighQuality	
diffusi.	I-Premise	HighQuality	

Nessun	B-Premise	HighQuality	
segno	I-Premise	HighQuality	
di	I-Premise	HighQuality	
emorragia	I-Premise	HighQuality	
o	I-Premise	HighQuality	
ittero.	I-Premise	HighQuality	

L'esame	B-Premise	HighQuality	
fisico	I-Premise	HighQuality	
è	I-Premise	HighQuality	
normale.	I-Premise	HighQuality	

Quale	O		
dei	O		
seguenti	O		
esami	O		
ritiene	O		
più	O		
appropriato	O		
per	O		
la	O		
diagnosi?	O		

1-	O		
Capsula	B-Claim	HighQuality	
endoscopica.	I-Claim	HighQuality	

2-	O		
colonscopia	B-Claim	LowQuality	corrected

3-	O		
Sierologia	B-Claim	HighQuality	
per	I-Claim	HighQuality	
il	I-Claim	HighQuality	
virus	I-Claim	HighQuality	
dell'epatite	I-Claim	HighQuality	
b	I-Claim	HighQuality	
e	I-Claim	HighQuality	
c.	I-Claim	HighQuality	

4-	O		
Biopsia	B-Claim	HighQuality	
intestinale.	I-Claim	HighQuality	

5-	O		
Ecografia	B-Claim	HighQuality	
addominale.	I-Claim	HighQuality	

RISPOSTA	O		
CORRETTA:	O		
4	O		

In	B-Premise	HighQuality	
questa	I-Premise	HighQuality	
domanda	I-Premise	HighQuality	
viene	I-Premise	HighQuality	
fornito	I-Premise	HighQuality	
un	I-Premise	HighQuality	
dato	I-Premise	HighQuality	
importante	I-Premise	HighQuality	
per	I-Premise	HighQuality	
sospettare	I-Premise	HighQuality	
una	I-Premise	HighQuality	
diagnosi,	I-Premise	HighQuality	
ovvero	I-Premise	HighQuality	
l'Ac.	I-Premise	HighQuality	
antitrasglutaminasi,	I-Premise	HighQuality	
che	B-Claim	HighQuality	
deve	I-Claim	HighQuality	
far	I-Claim	HighQuality	
sospettare	I-Claim	HighQuality	
la	I-Claim	HighQuality	
celiachia.	I-Claim	HighQuality	

Il	B-Premise	HighQuality	
resto	I-Premise	HighQuality	
dei	I-Premise	HighQuality	
sintomi	I-Premise	HighQuality	
si	I-Premise	HighQuality	
inserisce	I-Premise	HighQuality	
perfettamente	I-Premise	HighQuality	
nel	I-Premise	HighQuality	
quadro	I-Premise	HighQuality	
e	O		
anche	B-Claim	HighQuality	
se	I-Claim	HighQuality	
probabilmente	I-Claim	HighQuality	
verranno	I-Claim	HighQuality	
fatti	I-Claim	HighQuality	
diversi	I-Claim	HighQuality	
esami	I-Claim	HighQuality	
tra	I-Claim	HighQuality	
quelli	I-Claim	HighQuality	
citati,	I-Claim	HighQuality	
la	B-Claim	HighQuality	
risposta	I-Claim	HighQuality	
che	I-Claim	HighQuality	
ci	I-Claim	HighQuality	
darà	I-Claim	HighQuality	
la	I-Claim	HighQuality	
diagnosi	I-Claim	HighQuality	
è	I-Claim	HighQuality	
la	I-Claim	HighQuality	
4	I-Claim	HighQuality	
(biopsia	I-Claim	HighQuality	
intestinale).	I-Claim	HighQuality	

QUESTION	O		
TYPE:	O		
ENDOCRINOLOGIA	O		

CLINICAL	O		
CASE:	O		

Uomo	B-Premise	HighQuality	
di	I-Premise	HighQuality	
24	I-Premise	HighQuality	
anni	I-Premise	HighQuality	
che	I-Premise	HighQuality	
riferisce	I-Premise	HighQuality	
astenia	I-Premise	HighQuality	
progressiva	I-Premise	HighQuality	
da	I-Premise	HighQuality	
almeno	I-Premise	HighQuality	
6	I-Premise	HighQuality	
mesi,	I-Premise	HighQuality	
voce	I-Premise	HighQuality	
rauca,	I-Premise	HighQuality	
eloquio	I-Premise	HighQuality	
lento,	I-Premise	HighQuality	
sonnolenza	I-Premise	HighQuality	
e	I-Premise	HighQuality	
gonfiore	I-Premise	HighQuality	
di	I-Premise	HighQuality	
mani,	I-Premise	HighQuality	
piedi	I-Premise	HighQuality	
e	I-Premise	HighQuality	
viso.	I-Premise	HighQuality	

Esame:	B-Premise	HighQuality	
polso	I-Premise	HighQuality	
a	I-Premise	HighQuality	
52	I-Premise	HighQuality	
battiti	I-Premise	HighQuality	
al	I-Premise	HighQuality	
minuto,	I-Premise	HighQuality	
viso	I-Premise	HighQuality	
abotarada	I-Premise	HighQuality	
e	I-Premise	HighQuality	
pelle	I-Premise	HighQuality	
secca	I-Premise	HighQuality	
e	I-Premise	HighQuality	
pallida.	I-Premise	HighQuality	

Emocromo:	B-Premise	HighQuality	
lieve	I-Premise	HighQuality	
anemia,	I-Premise	HighQuality	
colesterolo	I-Premise	HighQuality	
385	I-Premise	HighQuality	
mg/dL	I-Premise	HighQuality	
(normale	I-Premise	HighQuality	
<220),	I-Premise	HighQuality	
creatinina	I-Premise	HighQuality	
1,3	I-Premise	HighQuality	
mg/dL	I-Premise	HighQuality	
(normale:	I-Premise	HighQuality	
0,5-1,1),	I-Premise	HighQuality	
proteinuria	I-Premise	HighQuality	
negativa,	I-Premise	HighQuality	
TSH	I-Premise	HighQuality	
187μIU/mL	I-Premise	HighQuality	
(normale	I-Premise	HighQuality	
0,35-5,5)	I-Premise	HighQuality	
e	I-Premise	HighQuality	
Free	I-Premise	HighQuality	
T4	I-Premise	HighQuality	
0,2	I-Premise	HighQuality	
ng/dL	I-Premise	HighQuality	
(normale	I-Premise	HighQuality	
0,85-1,86).	I-Premise	HighQuality	

Quale	O		
strategia	O		
ritenete	O		
più	O		
appropriata?	O		

1-	O		
Eseguire	B-Claim	HighQuality	
un'ecografia	I-Claim	HighQuality	
tiroidea	I-Claim	HighQuality	
prima	I-Claim	HighQuality	
di	I-Claim	HighQuality	
iniziare	I-Claim	HighQuality	
il	I-Claim	HighQuality	
trattamento.	I-Claim	HighQuality	

2-	O		
Determinare	B-Claim	HighQuality	
la	I-Claim	HighQuality	
T3	I-Claim	HighQuality	
libera	I-Claim	HighQuality	
ed	I-Claim	HighQuality	
eseguire	I-Claim	HighQuality	
una	I-Claim	HighQuality	
RMN	I-Claim	HighQuality	
ipofisaria.	I-Claim	HighQuality	

3-	O		
Trattare	B-Claim	HighQuality	
con	I-Claim	HighQuality	
L-triiodotironina	I-Claim	HighQuality	
e	I-Claim	HighQuality	
una	I-Claim	HighQuality	
statina.	I-Claim	HighQuality	

4-	O		
Trattare	B-Claim	HighQuality	
con	I-Claim	HighQuality	
L-tiroxina	I-Claim	HighQuality	
e	I-Claim	HighQuality	
determinare	I-Claim	HighQuality	
gli	I-Claim	HighQuality	
anticorpi	I-Claim	HighQuality	
anti-tiroide.	I-Claim	HighQuality	

5-	O		
Eseguire	B-Claim	HighQuality	
una	I-Claim	HighQuality	
citologia	I-Claim	HighQuality	
tiroidea	I-Claim	HighQuality	
prima	I-Claim	HighQuality	
del	I-Claim	HighQuality	
trattamento.	I-Claim	HighQuality	

RISPOSTA	O		
CORRETTA:	O		
4	O		

Si	B-Claim	HighQuality	
tratta	I-Claim	HighQuality	
di	I-Claim	HighQuality	
ipotiroidismo	I-Claim	HighQuality	
primario	I-Claim	HighQuality	
grave.	I-Claim	HighQuality	

Il	B-Claim	HighQuality	
trattamento	I-Claim	HighQuality	
è	I-Claim	HighQuality	
con	I-Claim	HighQuality	
tiroxina.	I-Claim	HighQuality	

Se	B-Claim	HighQuality	
non	I-Claim	HighQuality	
c'è	I-Claim	HighQuality	
un	I-Claim	HighQuality	
nodulo,	I-Claim	HighQuality	
non	I-Claim	HighQuality	
sono	I-Claim	HighQuality	
indicate	I-Claim	HighQuality	
né	I-Claim	HighQuality	
l'eco	I-Claim	HighQuality	
né	I-Claim	HighQuality	
l'FNA.	I-Claim	HighQuality	

QUESTION	O		
TYPE:	O		
ENDOCRINOLOGIA	O		

CLINICAL	O		
CASE:	O		

Una	B-Premise	HighQuality	
donna	I-Premise	HighQuality	
di	I-Premise	HighQuality	
55	I-Premise	HighQuality	
anni	I-Premise	HighQuality	
si	I-Premise	HighQuality	
consulta	I-Premise	HighQuality	
per	I-Premise	HighQuality	
affaticamento	I-Premise	HighQuality	
e	I-Premise	HighQuality	
poliuria	I-Premise	HighQuality	
da	I-Premise	HighQuality	
due	I-Premise	HighQuality	
anni.	I-Premise	HighQuality	

Le	B-Premise	HighQuality	
analisi	I-Premise	HighQuality	
rivelano	I-Premise	HighQuality	
ipercalcemia,	I-Premise	HighQuality	
aumento	I-Premise	HighQuality	
del	I-Premise	HighQuality	
PTH	I-Premise	HighQuality	
e	I-Premise	HighQuality	
dei	I-Premise	HighQuality	
marcatori	I-Premise	HighQuality	
del	I-Premise	HighQuality	
turnover	I-Premise	HighQuality	
osseo.	I-Premise	HighQuality	

Lo	B-Premise	HighQuality	
studio	I-Premise	HighQuality	
radiografico	I-Premise	HighQuality	
mostra	I-Premise	HighQuality	
un	I-Premise	HighQuality	
riassorbimento	I-Premise	HighQuality	
subperiostale	I-Premise	HighQuality	
e	I-Premise	HighQuality	
osteoporosi.	I-Premise	HighQuality	

La	B-Premise	HighQuality	
scintigrafia	I-Premise	HighQuality	
con	I-Premise	HighQuality	
sestamibi	I-Premise	HighQuality	
rivela	I-Premise	HighQuality	
un	I-Premise	HighQuality	
adenoma	I-Premise	HighQuality	
paratiroideo.	I-Premise	HighQuality	

La	B-Premise	HighQuality	
paratiroidectomia	I-Premise	HighQuality	
viene	I-Premise	HighQuality	
eseguita	I-Premise	HighQuality	
con	I-Premise	HighQuality	
chirurgia	I-Premise	HighQuality	
minimamente	I-Premise	HighQuality	
invasiva.	I-Premise	HighQuality	

Nel	B-Premise	HighQuality	
post-operatorio,	I-Premise	HighQuality	
il	I-Premise	HighQuality	
paziente	I-Premise	HighQuality	
sviluppa	I-Premise	HighQuality	
